starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 20 00:57:56 2015	1440021476	0	5002	5002	1
Thu Aug 20 00:57:56 2015	1440021476	0	5002	5002	1
Thu Aug 20 00:55:31 2015	1440021331	0	5002	5002	1
Thu Aug 20 00:57:06 2015	1440021426	0	5002	5002	1
Thu Aug 20 00:57:46 2015	1440021466	0	5002	5002	1
Thu Aug 20 00:56:56 2015	1440021416	0	5002	5002	1
Thu Aug 20 00:57:51 2015	1440021471	0	5002	5002	1
Thu Aug 20 00:57:46 2015	1440021466	0	5002	5002	1
Thu Aug 20 00:52:16 2015	1440021136	0	5002	5002	1
Thu Aug 20 00:57:41 2015	1440021461	0	5002	5002	1
Thu Aug 20 00:55:16 2015	1440021316	0	5002	5002	1
Thu Aug 20 00:52:51 2015	1440021171	0	5002	5002	1
Thu Aug 20 00:57:26 2015	1440021446	0	5002	5002	1
Thu Aug 20 00:57:21 2015	1440021441	0	5002	5002	1
Thu Aug 20 00:54:11 2015	1440021251	0	5002	5002	1
Thu Aug 20 00:57:06 2015	1440021426	0	5002	5002	1
Thu Aug 20 00:53:06 2015	1440021186	0	5002	5002	1
Thu Aug 20 00:57:26 2015	1440021446	0	5002	5002	1
Thu Aug 20 00:53:11 2015	1440021191	0	5002	5002	1
Thu Aug 20 00:53:36 2015	1440021216	0	5002	5002	1
Thu Aug 20 00:57:36 2015	1440021456	0	5002	5002	1
Thu Aug 20 00:55:16 2015	1440021316	0	5002	5002	1
Thu Aug 20 00:57:51 2015	1440021471	0	5002	5002	1
Thu Aug 20 00:55:46 2015	1440021346	0	5002	5002	1
Thu Aug 20 00:57:31 2015	1440021451	0	5002	5002	1
Thu Aug 20 00:53:16 2015	1440021196	0	5002	5002	1
Thu Aug 20 00:52:51 2015	1440021171	0	5002	5002	1
Thu Aug 20 00:53:11 2015	1440021191	0	5002	5002	1
Thu Aug 20 00:57:16 2015	1440021436	0	5002	5002	1
Thu Aug 20 00:53:21 2015	1440021201	0	5002	5002	1
Thu Aug 20 00:54:01 2015	1440021241	0	5002	5002	1
Thu Aug 20 00:58:06 2015	1440021486	0	5002	5002	1
Thu Aug 20 00:55:46 2015	1440021346	0	5002	5002	1
Thu Aug 20 00:57:21 2015	1440021441	0	5002	5002	1
Thu Aug 20 00:58:01 2015	1440021481	0	5002	5002	1
Thu Aug 20 00:52:16 2015	1440021136	0	5002	5002	1
Thu Aug 20 00:54:51 2015	1440021291	0	5002	5002	1
Thu Aug 20 00:52:01 2015	1440021121	0	5002	5002	1
Thu Aug 20 00:54:06 2015	1440021246	0	5002	5002	1
Thu Aug 20 00:57:41 2015	1440021461	0	5002	5002	1
Thu Aug 20 00:57:41 2015	1440021461	0	5002	5002	1
Thu Aug 20 00:57:21 2015	1440021441	0	5002	5002	1
Thu Aug 20 00:53:06 2015	1440021186	0	5002	5002	1
Thu Aug 20 00:54:11 2015	1440021251	0	5002	5002	1
Thu Aug 20 00:57:41 2015	1440021461	0	5002	5002	1
Thu Aug 20 00:52:46 2015	1440021166	0	5002	5002	1
Thu Aug 20 00:57:26 2015	1440021446	0	5002	5002	1
Thu Aug 20 00:56:51 2015	1440021411	0	5002	5002	1
Thu Aug 20 00:56:56 2015	1440021416	0	5002	5002	1
Thu Aug 20 00:57:16 2015	1440021436	0	5002	5002	1
Thu Aug 20 00:50:56 2015	1440021056	0	5002	5002	1
Thu Aug 20 00:53:06 2015	1440021186	0	5002	5002	1
Thu Aug 20 00:51:41 2015	1440021101	0	5002	5002	1
Thu Aug 20 00:54:06 2015	1440021246	0	5002	5002	1
Thu Aug 20 00:52:31 2015	1440021151	0	5002	5002	1
Thu Aug 20 00:56:56 2015	1440021416	0	5002	5002	1
Thu Aug 20 00:57:46 2015	1440021466	0	5002	5002	1
Thu Aug 20 00:57:56 2015	1440021476	0	5002	5002	1
Thu Aug 20 00:52:41 2015	1440021161	0	5002	5002	1
Thu Aug 20 00:57:56 2015	1440021476	0	5002	5002	1
Thu Aug 20 00:57:36 2015	1440021456	0	5002	5002	1
Thu Aug 20 00:53:36 2015	1440021216	0	5002	5002	1
Thu Aug 20 00:51:56 2015	1440021116	0	5002	5002	1
Thu Aug 20 00:55:16 2015	1440021316	0	5002	5002	1
Thu Aug 20 00:56:01 2015	1440021361	0	5002	5002	1
Thu Aug 20 00:57:06 2015	1440021426	0	5002	5002	1
Thu Aug 20 00:54:11 2015	1440021251	0	5002	5002	1
Thu Aug 20 00:57:01 2015	1440021421	0	5002	5002	1
Thu Aug 20 00:52:41 2015	1440021161	0	5002	5002	1
Thu Aug 20 00:57:36 2015	1440021456	0	5002	5002	1
Thu Aug 20 00:57:01 2015	1440021421	0	5002	5002	1
Thu Aug 20 00:50:51 2015	1440021051	0	5002	5002	1
Thu Aug 20 00:52:06 2015	1440021126	0	5002	5002	1
Thu Aug 20 00:55:46 2015	1440021346	0	5002	5002	1
Thu Aug 20 00:52:01 2015	1440021121	0	5002	5002	1
Thu Aug 20 00:54:16 2015	1440021256	0	5002	5002	1
